Agency ID,Company Name,Cultural Populations Served
21950-PART-01,Lutheran Church of the Abiding Presence,"Central/South Asian,East Asian,Latin American"
22017-PART-01,Loaves & Fishes,"East African,East Asian,Latin American,Middle Eastern/ North African,West African"
22050-PART-01,Francis On The Hill,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22052-PART-01,R Street Apartments,"Latin American,West African"
22052-PART-02,Monsenor Romero,Latin American
22053-PART-01,Walker Memorial Baptist Church,"Latin American,West African"
22119-PART-01,Covenant House Greater Washington,Latin American
22120-PART-01,Columbia Heights Village Tenant Association,"East Asian,Eastern European,Latin American,West African"
22177-PART-01,Luther Jackson Middle School Food Pantry,Latin American
22183-PART-01,The ARK of DC Foundation,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22202-PART-01,First SDA Church,"East African,Latin American,West African"
22207-PART-01,Burke United Methodist Church,"Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
22208-PART-01,Northern Virginia Food Rescue,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22249-PART-01,Buddhist Tzu Chi Foundation,"East Asian,Latin American"
22259-PART-01,The Redeemed Christian Church of God - Victory Temple,"Central/South Asian,East African,Latin American,Middle Eastern/ North African,West African"
22261-PART-01,Greater Little Zion Baptist Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22274-PART-01,The Throne Room of Grace,Latin American
22291-PART-01,Agape Love in Action,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22303-PART-01,"The Universal Church, Inc",Latin American
22308-PART-01,LindaBen Foundation,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22380-PART-01,She Believes in Me,"Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
22443-PART-01,Tommy's Pantry,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22457-PART-01,Mid-County Hub at Harvest Intercontinental Church Olney,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22458-PART-01,Destiny Driven,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22459-PART-01,Love Donation Pantry,"Central/South Asian,East African,Middle Eastern/ North African,West African"
22468-PART-01,Largo Community Church,Latin American
22504-PART-01,Hope Multiplied,"East African,Latin American,West African"
22531-PART-01,Gaithersburg HELP,"Central/South Asian,Eastern European,Latin American"
22555-PART-02,Annandale UMC,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22561-PART-01,NW Community Food,"Central/South Asian,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22570-PART-01,Code 3 Association,"East African,Latin American,Middle Eastern/ North African,West African"
22580-PART-01,First Alliance Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22601-PART-01,Reston Strong,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22633-PART-01,St. Matthews Ken Jackson Food Closet,"East Asian,Latin American,Middle Eastern/ North African,West African"
22634-PART-01,Grace Baptist Church,"East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22639-PART-01,Ports Town Church,"East African,Latin American,West African"
22663-PART-01,St. Peters in the Woods,"Latin American,Middle Eastern/ North African,West African"
22685-PART-01,Gaithersburg Soup Kitchen,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
22687-PART-01,Centro de Apoyo Familiar (CAF),"Latin American,West African"
22690-PART-01,The Mel Johnson International Inc.,"East Asian,Latin American,West African"
22697-PART-01,Mount Calvary Baptist Church,"East Asian,Latin American,West African"
