Name,Region,Zone,Address,Phone,Monthly_schedule,Start_time,End_time,Appointment,Requirements,Distribution_mode,Packaging,Notes,Day,Processed_For_Geocoding,Latitude,Longitude
Purity Baptist Church : Purity Baptist Church,DC, Ward 6, Purity Baptist Church 1325 Maryland Ave NE Washington DC 20002,(202) 397-4333,Every week,10:00 AM,11:00 AM,No,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Thursday,1325 Maryland Ave NE Washington DC 20002,38.8990226,-76.9864891
National City Christian Church : National City Christian Church,DC, Ward 2, National City Christian Church 5 Thomas Circle NW Washington DC 20005,(202) 232-0323,Every week,10:00 AM,01:00 PM,No,,Walk up,Pre-bagged or boxed groceries,Distribution will be on Tuesday if the Wednesday is a holiday.   This year we will distribute on 12/24 and 12/31.,Wednesday,5 Thomas Circle NW Washington DC 20005,38.9064998,-77.0327273
Good Samaritan : Good Samaritan Ministry,MD, Prince George's County, Good Samaritan Ministry 1417 Chillum Rd Hyattsville MD 20782,(240) 478-0975,Every week,10:00 AM,12:00 PM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Saturday,1417 Chillum Rd Hyattsville MD 20782,,
Covenant Baptist Food Pantry : Covenant Baptist Food Pantry,DC, Ward 8, Covenant Baptist Food Pantry 3845 South Capitol St SW Washington DC 20032,(202) 438-7532,Every week,09:30 AM,12:30 PM,No,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Thursday,3845 South Capitol St SW Washington DC 20032,38.8341748,-77.0089621
Nineteenth Street Baptist Church : Nineteenth Street Baptist Church,DC, Ward 4, Nineteenth Street Baptist Church 4606 16th St NW Washington DC 20011,(202) 829-2773,2nd and 4th of the Month,10:00 AM,01:00 PM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Thursday,4606 16th St NW Washington DC 20011,38.9468507,-77.036771
First Baptist Church of Capitol Heights : First Baptist Church of Capitol Heights,MD, Prince George's County, First Baptist Church of Capitol Heights 6 Capitol Heights Blvd Capitol Heights MD 20743,(301) 336-0722,Every Other Week,10:00 AM,01:00 PM,Yes,"ID,Zip Code",Walk up,Pre-bagged or boxed groceries,,Thursday || Tuesday,6 Capitol Heights Blvd Capitol Heights MD 20743,38.8852076,-76.9138748
Assumption Outreach : Assumption Outreach,DC, Ward 8, Assumption Outreach 220 Highview Place SE  Washington DC 20032,(202) 561-5941,Every week,09:00 AM,12:00 PM,No,,Walk up,Pre-bagged or boxed groceries,,Friday || Monday || Wednesday,220 Highview Place SE Washington DC 20032,38.8415051,-77.0045614
Metropolitan SDA Church : Metropolitan SDA Church,MD, Prince George's County, Metropolitan SDA Church 6303 Riggs Rd Hyattsville MD 20783,(301) 853-2224,Every Other Week,10:00 AM,12:00 PM,No,,"Drive thru,Walk up",Pre-bagged or boxed groceries,,Wednesday,6303 Riggs Rd Hyattsville MD 20783,,
Church of Christ of Dale City : Church of Christ of Dale City,VA, Prince William County, Church of Christ of Dale City 13130 Hillendale Drive Dale City VA 22193,(703) 346-4991,2nd and 4th of the Month,03:00 PM,05:00 PM,No,,"Drive thru,Walk up",Pre-bagged or boxed groceries,,Monday,13130 Hillendale Drive Dale City VA 22193,,
Food For All : Food For All,DC, Ward 2, Food For All 1810 16th St NW Washington DC 20009,(240) 410-0024,Every week,08:00 AM,12:00 PM,Yes,Income,Home Delivery,"Loose groceries,Pre-bagged or boxed groceries",,Friday || Saturday || Thursday,1810 16th St NW Washington DC 20009,38.9143737,-77.0369513
Fort Foote Baptist Church : Fort Foote Baptist Church,MD, Prince George's County, Fort Foote Baptist Church 8310 Fort Foot Road Fort Washington MD 20744,(240) 281-2303,4th of the Month,09:00 AM,11:00 AM,No,,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Saturday,8310 Fort Foot Road Fort Washington MD 20744,,
Our Lady of Perpetual Help Church : Our Lady of Perpetual Help Church,DC, Ward 8, Our Lady of Perpetual Help Church 1600 Morris Rd SE Washington DC 20020,(202) 678-4999,Every week,10:30 AM,12:30 PM,No,ID,"Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Thursday,1600 Morris Rd SE Washington DC 20020,38.8578053,-76.981506
Fort Washington Food Pantry : Fort Washington Food Pantry,MD, Prince George's County, Fort Washington Food Pantry 9801 Livingston Road Fort Washington MD 20744,(202) 679-8898,Every week,09:00 AM,11:00 AM,No,"ID,Zip Code",Drive thru,"Loose groceries,Pre-bagged or boxed groceries",,Saturday || Wednesday,9801 Livingston Road Fort Washington MD 20744,38.7556609,-77.0009664
WFCM Food Pantry : WFCM Food Pantry,VA, Fairfax County, WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,(703) 988-9656,Every week,10:30 AM,02:00 PM,Yes,"ID,Income,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Friday || Monday || Saturday || Thursday || Tuesday || Wednesday,4511 Daly Dr Suite J Chantilly VA 20151,,
Washington Spanish SDA Church : Washington Spanish SDA Church,MD, Montgomery County, Washington Spanish SDA Church 12604 New Hampshire Avenue Silver Spring MD 20904,(240) 638-7086,1st and 3rd of the Month,04:00 PM,06:00 PM,No,ID,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",Everybody is welcome.,Tuesday,12604 New Hampshire Avenue Silver Spring MD 20904,39.0761335,-77.0019544
Gethsemane United Methodist Church : Gethsemane United Methodist Church,MD, Prince George's County, Gethsemane United Methodist Church 910 Addison Road Capitol Heights MD 20743,(301) 237-7116,Every week,10:00 AM,01:00 PM,No,ID,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Saturday,910 Addison Road Capitol Heights MD 20743,38.8705089,-76.894135
Bread & Fishes : Bread & Fishes,VA, Prince William County, Bread & Fishes 3890 Cameron Street Dumfries Va 22026,(240) 778-3764,Every week,05:00 PM,06:00 PM,No,Zip Code,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Tuesday,3890 Cameron Street Dumfries Va 22026,38.5686422,-77.3287835
Urban Outreach Inc. : Urban Outreach Inc.,DC, Ward 7, Urban Outreach Inc. 5343 C St SE  Suite 204 Washington DC 20019,(202) 575-4867,Every week,08:00 AM,02:00 PM,No,"ID,Income,Zip Code",Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Saturday,5343 C St SE Suite 204 Washington DC 20019,,
Greater Fellowship Missionary Baptist Church : Greater Fellowship Missionary Baptist Church,DC, Ward 8, Greater Fellowship Missionary Baptist Church 814 Alabama Ave SE Washington DC 20032,(202) 413-4462,Every week,09:00 AM,10:00 AM,No,ID,Walk up,Pre-bagged or boxed groceries,,Tuesday,814 Alabama Ave SE Washington DC 20032,38.8440468,-76.9938772
Prince George's County DSS : Prince George's County DSS,MD, Prince George's County, Prince George's County DSS 805 Brightseat Rd Landover MD 20785,(301) 909-6364,Every week,08:30 AM,04:30 PM,Yes,ID,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Friday || Monday || Thursday || Tuesday || Wednesday,805 Brightseat Rd Landover MD 20785,38.9160199,-76.8603179
St. Paul UMC : St. Paul UMC,MD, Prince George's County, St. Paul UMC 6634 St. Barnabas Road Oxon Hill  MD 20745,2 (440) 460-3401,Every week,01:00 PM,03:00 PM,Yes,"ID,Income,Zip Code","Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Thursday,6634 St. Barnabas Road Oxon Hill MD 20745,38.7980724,-76.9823048
St. Margaret of Scotland Catholic Church : St. Margaret of Scotland Catholic Church,MD, Prince George's County," St. Margaret of Scotland Catholic Church 408 Addison Road, South Capitol Heights MD 20743",(301) 336-3344,"1st, 2nd, and 3rd of the Month",09:00 AM,12:00 PM,No,ID,Walk up,Pre-bagged or boxed groceries,,Saturday,"408 Addison Road, South Capitol Heights MD 20743",,
"FISH of Laurel, Inc. : FISH of Laurel, Inc.",MD, Prince George's County," FISH of Laurel, Inc. 308 Gorman Ave Laurel  MD 20707",(240) 460-5667,Every week,10:00 AM,12:00 PM,Yes,"ID,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",We open at 10:15 AM.,Saturday || Thursday,308 Gorman Ave Laurel MD 20707,39.0984608,-76.8506114
Life Builders - Harvest Temple Church of God : Life Builders,MD, Prince George's County, Life Builders 6608 Wilkins Place Forestville MD 20747,(301) 785-2543,2nd and 4th of the Month,10:00 AM,12:30 PM,No,"ID,Income",Drive thru,Pre-bagged or boxed groceries,,Tuesday,6608 Wilkins Place Forestville MD 20747,38.840773,-76.8932991
Victory Drug Center : Victory Drug Center,MD, Prince George's County, Victory Drug Center 1804 Quarter Avenue Capitol Heights MD 20743,(301) 735-2222,3rd of the Month,09:00 AM,01:00 PM,No,,"Drive thru,Walk up",Pre-bagged or boxed groceries,,Saturday,1804 Quarter Avenue Capitol Heights MD 20743,,
St. Paul's United Methodist Church : St. Paul United Methodist Church,VA, Prince William County, St. Paul United Methodist Church 1400 G St Woodbridge  VA 22191,(703) 568-5694,1st of the Month,07:30 AM,10:30 AM,No,Income,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",Income requirement is only to receive TEFAP food,Saturday || Thursday,1400 G St Woodbridge VA 22191,38.6606663,-77.2529184
Woodlawn United Methodist Church : Woodlawn United Methodist Church,VA, Fairfax County, Woodlawn United Methodist Church 7730 Fordson Road Alexandria VA 22306,(703) 360-3050,All,10:00 AM,11:30 AM,No,,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries","remainder of 2024 dates: 10/18, 11/1, 11/15, 12/20",Friday,7730 Fordson Road Alexandria VA 22306,,
Floris United Methodist Church : Floris United Methodist Church,VA, Fairfax County, Floris United Methodist Church 13600 Frying Pan Road Herndon VA 20171,(703) 798-5826,1st of the Month,08:00 AM,09:00 AM,No,Income,Drive thru,Pre-bagged or boxed groceries,Income requirement only applies to TEFAP pantry,Saturday,13600 Frying Pan Road Herndon VA 20171,,
Galilee Community Development Corporation : Galilee Community Development Corporation,MD, Prince George's County, Galilee Community Development Corporation 2101 Shadyside Ave  Suitland MD  20746,,Every week,12:00 PM,02:30 PM,Yes,ID,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Thursday || Tuesday || Wednesday,2101 Shadyside Ave Suitland MD 20746,38.862301,-76.932234
Crossover Church : Crossover Church,MD, Prince George's County,Angela Wilson 5340 Baltimore Ave Hyattsville MD 20781,(301) 927-5620,Every week,08:30 AM,11:00 AM,Yes,"ID,Income,Zip Code","Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Friday,5340 Baltimore Ave Hyattsville MD 20781,38.9551316,-76.940885
Luther Rice Neighborhood Center : Luther Rice Neighborhood Center,MD, Montgomery County, Luther Rice Neighborhood Center 801 University Blvd W Silver Spring MD 20901,(301) 593-1130,3rd of the Month,11:00 AM,01:00 PM,No,,"Drive thru,Walk up",Pre-bagged or boxed groceries,,Saturday,801 University Blvd W Silver Spring MD 20901,39.0412414,-77.0524083
Sydenstricker UMC : Sydenstricker UMC,VA, Fairfax County, Sydenstricker UMC 8508 Hooes Road Springfield VA 22153,(571) 235-6048,4th of the Month,03:00 PM,06:00 PM,No,,Drive thru,"Loose groceries,Pre-bagged or boxed groceries,Prepared meals",You must be in line by 6:00 p.m. to receive food.,Tuesday,8508 Hooes Road Springfield VA 22153,,
Clothing of Power Eternal Church : Clothing of Power Eternal Church,MD, Prince George's County, Clothing of Power Eternal Church 25 Quire Ave Capitol Heights MD 20743,(240) 398-1681,4th of the Month,09:00 AM,12:00 PM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",Early distribution before Christmas.,Saturday,25 Quire Ave Capitol Heights MD 20743,38.8863372,-76.9120974
Emmanuel United Methodist Church : Emmanuel UMC,MD, Prince George's County, Emmanuel UMC 11416 Cedar Lane Beltsville MD 20705,(301) 937-7114,4th of the Month,08:00 AM,11:00 AM,No,"ID,Income",Drive thru,Pre-bagged or boxed groceries,,Saturday,11416 Cedar Lane Beltsville MD 20705,39.0423799,-76.9181754
Christ House : Alexandria Food Pantry,VA, City of Alexandria, Catholic Charities - CHRIST HOUSE 4725A Eisenhower Avenue ALEXANDRIA VA 22304,(703) 719-8939,Every week,09:00 AM,01:00 PM,No,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",Please arrive no later than 12:30 to allow processing. All clients require previous registration. All registrations are by appointment only and can be requested through AROPantry@ccda.net.,Thursday || Wednesday,4725A Eisenhower Avenue ALEXANDRIA VA 22304,38.8044574,-77.1102587
St. Stephen's United Methodist Church : St. Stephen's UMC,VA, Fairfax County, St. Stephen's UMC 9203 Braddock Rd  Burke  VA 22015,(703) 978-8724,4th of the Month,07:00 AM,09:00 AM,No,Zip Code,"Drive thru,Walk up",Pre-bagged or boxed groceries,"Perishable/Non-perishable food, bread, diapers, household goods",All || Friday || Saturday,9203 Braddock Rd Burke VA 22015,,
St. Camillus Catholic Church : St. Camillus Catholic Church,MD, Montgomery County, St. Camillus Catholic Church 1600 Saint Camillus Drive  Silver Spring MD 20903,(301) 452-4233,Every week,04:00 PM,06:00 PM,No,ID,Walk up,Pre-bagged or boxed groceries,Clients may visit the pantry once every 4 weeks.,Friday || Saturday,1600 Saint Camillus Drive Silver Spring MD 20903,39.0094437,-76.9816625
Great Commission Change of Life Ministries : Great Commission Change of Life Ministries,MD, Prince George's County, Great Commission Change of Life Ministries 7937 Penn Randall Place Unit A Upper Marlboro  MD 20772,,Every week,10:30 AM,01:30 PM,No,,Drive thru,Pre-bagged or boxed groceries,,Thursday,7937 Penn Randall Place Unit A Upper Marlboro MD 20772,,
Faith Social  Services : Faith Social Services,VA, Fairfax County, Faith Social Services 795 Center St #2A Herndon VA 20170,(571) 345-4241,Every week,11:00 AM,02:00 PM,No,,"Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Friday || Saturday || Thursday || Wednesday,795 Center St #2A Herndon VA 20170,,
Holiness Tabernacle Church of God in Christ : Holiness Tabernacle Church of God,VA, Prince William County, Holiness Tabernacle P.O. Box 2193 Dale City VA 22195,(703) 497-7928,Every week,09:30 AM,10:30 AM,Yes,ID,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Friday,2193 Dale City VA 22195,38.645601,-77.3364973
Allen Chapel AME Church Outreach MD : Allen Chapel AME Church Outreach Ministry,MD, Montgomery County, Allen Chapel AME Church Outreach Ministry 2518 Fairland Road Silver Spring MD 20904,(301) 404-2688,2nd and 4th of the Month,08:00 AM,10:00 AM,No,"ID,Zip Code",Drive thru,"Loose groceries,Pre-bagged or boxed groceries",,Saturday,2518 Fairland Road Silver Spring MD 20904,39.0772321,-76.9587796
Dar Al-Hijrah Islamic Center : Dar Al-Hijrah Islamic Center,VA, Fairfax County, Dar Al-Hijrah Islamic Center 3159 Row Street Falls Church VA 22044,(216) 262-1669,Every week,09:00 AM,11:00 AM,No,ID,"Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries","Reopening after Construction on November 21, 2024. Closed NOV 28, DEC 26 & JAN 2 for holidays, and then resuming as normal.",Thursday,3159 Row Street Falls Church VA 22044,,
Gospel Assembly Church : Gospel Assembly Church,MD, Prince George's County, Gospel Assembly Church 8740-12 Cherry Lane Laurel MD 20707,(301) 605-3756,1st of the Month,11:00 AM,01:00 PM,No,ID,"Drive thru,Walk up",Pre-bagged or boxed groceries,,Saturday,8740-12 Cherry Lane Laurel MD 20707,,
Restoration Church : Restoration Church,MD, Prince George's County, Restoration Center 119 Centerway Dr. Greenbelt MD 20770,(240) 645-7177,2nd and 4th of the Month,11:30 AM,12:30 PM,No,"ID,Income",Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Sunday || Wednesday,119 Centerway Dr. Greenbelt MD 20770,,
Clifton Park Baptist Church : Clifton Park Baptist Church,MD, Montgomery County, Clifton Park Baptist Church 8818 Piney Branch Rd Silver Spring MD 20903,(240) 372-3616,Every week,09:00 AM,12:00 PM,No,"ID,Zip Code","Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries,Prepared meals","Serving residents from zip codes 20901, 20903, 20910, 20910",Friday || Saturday || Thursday || Wednesday,8818 Piney Branch Rd Silver Spring MD 20903,38.9869092,-77.013185
Oxon Hill Church of Christ : Oxon Hill Church of Christ,MD, Prince George's County, Oxon Hill Church of Christ 4201 Brinkley Road Temple Hills MD 20748,(301) 875-9322,2nd and 4th of the Month,11:00 AM,01:00 PM,No,,"Drive thru,Home Delivery",Pre-bagged or boxed groceries,,Saturday || Wednesday,4201 Brinkley Road Temple Hills MD 20748,38.8040023,-76.9520743
Beltsville Seventh-Day Adventist Church : Beltsville Adventist Community Center,MD, Prince George's County, Beltsville Adventist Community Center 4200 Ammendale Rd. Beltsville MD 20705,(301) 937-8119,4th of the Month,10:30 AM,01:30 PM,No,,"Drive thru,Home Delivery","Loose groceries,Pre-bagged or boxed groceries",,Friday || Tuesday || Wednesday,4200 Ammendale Rd. Beltsville MD 20705,39.052904,-76.921884
Springfield Christian Church : Springfield Christian Church,VA, Fairfax County, Springfield Christian Church 5407 Backlick Rd Springfield VA 22151,(703) 507-6689,Every week,01:30 PM,04:30 PM,No,Income,Walk up,"Loose groceries,Pre-bagged or boxed groceries","Bring your ""Food Bank"" card",Thursday,5407 Backlick Rd Springfield VA 22151,38.7541092,-77.1846596
Montgomery County Muslim Foundation : Montgomery County Muslim Foundation,MD, Montgomery County, Montgomery County Muslim Foundation 11 Park Ave Gaithersburg MD 20877,(301) 800-1597,2nd of the Month,11:00 AM,12:30 PM,Yes,"ID,Income,Zip Code","Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,MCMF has  pantry distribution on 2nd Sunday or 3rd Sunday once a month. Panty is open Monday to Friday from 10 am to 5 pm and serve food to anyone who walks-in or make an appointment.,Sunday,11 Park Ave Gaithersburg MD 20877,39.1431647,-77.1946555
"Mt. Calvary Catholic Church Ladies of Charity Food Pantry : Mt. Calvary Catholic Church, Ladies of Charity Food Pantry",MD, Prince George's County," Mt. Calvary Catholic Church, Ladies of Charity Food Pantry 6706 Marlboro Pike Forestville MD 20747",(301) 221-2546,Every week,09:00 AM,11:30 AM,Yes,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Thursday,6706 Marlboro Pike Forestville MD 20747,38.8524257,-76.8896949
This Generation Ministries : This Generation Ministries,MD, Prince George's County, This Generation Ministries 9470 Annapolis Rd Suite 407 Lanham MD 20706,(240) 374-2901,Every week,01:30 PM,03:00 PM,No,,Walk up,Pre-bagged or boxed groceries,,Wednesday,9470 Annapolis Rd Suite 407 Lanham MD 20706,,
Groveton Baptist Church : Groveton Baptist Church,VA, Fairfax County, Groveton Baptist Church 6511 Richmond Highway  Alexandria VA 22306,(301) 648-5808,Every week,10:00 AM,03:00 PM,No,,"Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Friday,6511 Richmond Highway Alexandria VA 22306,38.7926156,-77.056737
Salvation Army - Arlington Corp : Salvation Army Arlington Corps,VA, Arlington County, Salvation Army Arlington Corps 518 S. Glebe Rd Arlington VA 22204,(703) 979-3380,1st and 2nd of the Month,09:30 AM,03:00 PM,No,Income,Walk up,"Loose groceries,Pre-bagged or boxed groceries",Until supplies last,Thursday,518 S. Glebe Rd Arlington VA 22204,38.8665041,-77.0953879
Mt. Jezreel Baptist Church : Mt. Jezreel Baptist Church,MD, Montgomery County, Mt. Jezreel Baptist Church 420 University Blvd East Silver Spring MD 20901,(301) 461-4257,1st of the Month,10:00 AM,02:00 PM,No,,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",No restrictions on client's location.  300 non-perishable food bags and produce distributed until gone.,Saturday,420 University Blvd East Silver Spring MD 20901,,
CAC Wosem DC : CAC Wosem- 24th Place,DC, Ward 5, CAC Wosem DC- 24th 2130 24th Place NE Washington DC 20018,(240) 643-6445,2nd of the Month,12:00 PM,02:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",2nd Saturday of the month,Saturday,24th 2130 24th Place NE Washington DC 20018,,
WeSERVE CDC : WeSERVE CDC,VA, Prince William County, Praise Center Church of God In Christ 17948 Fraley Blvd Dumfries VA 22026,(571) 781-2722,1st of the Month,11:00 AM,01:00 PM,No,ID,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",Until food is gone!,Saturday,17948 Fraley Blvd Dumfries VA 22026,38.56244,-77.3286794
Kings and Priests International Ministries : Kings and Priests International Ministries,MD, Montgomery County, Kings and Priests International Ministries 520 Randolph Road Silver Spring MD 20904,(301) 467-6646,1st and 3rd of the Month,05:00 PM,07:30 PM,No,"ID,Income,Zip Code","Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Sunday || Wednesday,520 Randolph Road Silver Spring MD 20904,39.0535841,-77.1058333
Chrisma Charities : Chrisma Charities,MD, Montgomery County, Chrisma Charities 12805 Georgia Avenue Silver Spring MD 20906,,Every week,10:00 AM,12:00 PM,No,,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",Participant pick-up/Silver Spring delivery locations,Friday || Monday || Saturday || Tuesday,12805 Georgia Avenue Silver Spring MD 20906,39.0723919,-77.0648999
CAC Bethel Fellowship Church : CAC Bethel Fellowship Church,MD, Prince George's County, CAC Bethel Fellowship Church 7513 Northern Avenue Glenn Dale MD 20769,(301) 352-2900,3rd of the Month,09:00 AM,03:00 PM,No,,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Saturday,7513 Northern Avenue Glenn Dale MD 20769,38.9934902,-76.8201446
"New Hope and Life Church of God, Inc : New Hope and Life Church of God, Inc.",MD, Prince George's County," New Hope and Life Church of God, Inc. 8616 Edgeworth Drive Capitol Heights MD 20743",(202) 689-4393,Every week,10:00 AM,Until Food Runs Out,No,ID,Drive thru,"Loose groceries,Pre-bagged or boxed groceries",Appointments can be made in case of emergency,Wednesday,8616 Edgeworth Drive Capitol Heights MD 20743,,
"Cheer, Inc : Cheer, Inc.",MD, Montgomery County,"New Hampshire Estates Elementary School 8720 Carroll Avenue,  Silver Spring MD 20903",(301) 589-3633,1st of the Month,04:00 PM,05:30 PM,No,Zip Code,Walk up,Pre-bagged or boxed groceries,,Tuesday,"8720 Carroll Avenue, Silver Spring MD 20903",38.9859411,-76.9965685
Oxon Hill UMC : Oxon Hill UMC,MD, Prince George's County, Oxon Hill UMC 6400 Livingston Road Oxon Hill MD 20745,(240) 687-1409,Every week,11:00 AM,01:00 PM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Thursday,6400 Livingston Road Oxon Hill MD 20745,38.801123,-76.9862885
Christ Embassy Maryland : Christ Embassy Maryland,MD, Prince George's County, Christ Embassy Maryland 1221 Carraway Court Suite 1010 Largo MD 20774,(301) 537-1765,Every week,10:00 AM,12:00 PM,No,,Walk up,Pre-bagged or boxed groceries,,Saturday,1221 Carraway Court Suite 1010 Largo MD 20774,,
Calvary Episcopal Church : Calvary Episcopal Church,DC, Ward 6, Calvary Episcopal Church 509 I Street NE Washington DC 20002,(858) 405-6276,3rd of the Month,10:00 AM,01:00 PM,Yes,Income,Walk up,Pre-bagged or boxed groceries,,Saturday,509 I Street NE Washington DC 20002,38.9011223,-76.9987621
Impact One Church : Impact One Church,MD, Prince George's County, Impact One Church 7230 Central Avenue Capitol Heights MD 20743,(301) 333-2083,2nd and 4th of the Month,11:00 AM,01:00 PM,Yes,ID,Drive thru,"Loose groceries,Pre-bagged or boxed groceries","11 - until supplies last, please stress that client must register and receive an appointment  timeahead of time at this link: impactonechurch.churchcenter.com",Saturday,7230 Central Avenue Capitol Heights MD 20743,,
Royalhouse Chapel International : Royalhouse Chapel International,MD, Prince George's County, Royalhouse Chapel International 7911 Braygreen Road Laurel MD 20707,(301) 437-9441,Every week,12:30 PM,02:00 PM,Yes,Zip Code,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Saturday || Tuesday,7911 Braygreen Road Laurel MD 20707,39.0804026,-76.8707473
Antioch Baptist Church of Clinton : Antioch Baptist Church of Clinton,MD, Prince George's County, Antioch Baptist Church of Clinton 9107 Pine View Lane Clinton MD 20735,(301) 868-3877,2nd of the Month,02:00 PM,05:00 PM,No,Zip Code,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",Montgomery and Prince Georges County residents,Friday || Saturday,9107 Pine View Lane Clinton MD 20735,,
St. Matthias Catholic Church : St. Matthias Catholic Church,MD, Prince George's County, St. Matthias Catholic Church 9475 Annapolis Lanham MD 20706,(301) 459-4814,2nd of the Month,08:00 AM,12:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",Service Insights ID,All || Friday,9475 Annapolis Lanham MD 20706,38.9654818,-76.8450684
Guru Nanak Foundation of America (GNFA) : Guru Nanak Foundation of America (GNFA),MD, Montgomery County, Guru Nanak Foundation of America (GNFA) 12917 Old Columbia Pike Silver Spring MD 20904,(301) 728-7138,2nd and 4th of the Month,12:00 PM,03:00 PM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Sunday,12917 Old Columbia Pike Silver Spring MD 20904,39.0736722,-76.9591776
GAP Food Program : GAP Food Program,MD, Prince George's County, Destiny International Christian Center 6715 Suitland Road Morningside MD 20746,(202) 528-4321,Every week,10:30 AM,01:00 PM,No,,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Sunday,6715 Suitland Road Morningside MD 20746,38.8281425,-76.8942521
La Iglesia Episcopal de Santa Maria : La Iglesia Episcopal de Santa Maria,VA, Fairfax County, La Iglesia de Santa Maria 7000 Arlington Blvd Falls Church VA 22042,(703) 244-1158,1st and 3rd of the Month,04:00 PM,06:00 PM,No,"Income,Zip Code","Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Tuesday,7000 Arlington Blvd Falls Church VA 22042,38.8685349,-77.1854892
DMV Food Justice Initiative : DMV Food Justice Initiative,VA, Fairfax County, DMV Food Justice Initiative 3110 Chichester Lane Fairfax VA 22031,(202) 415-9757,Every week,10:00 AM,12:00 PM,No,Zip Code,"Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Tuesday,3110 Chichester Lane Fairfax VA 22031,38.8645053,-77.2486599
Celestial Church of Christ : Celestial Church of Christ,DC, Ward 5, Celestial Church of Chirst 1880 Adams Street NE Washington DC 20018,(240) 467-8399,4th of the Month,12:00 PM,02:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Saturday,1880 Adams Street NE Washington DC 20018,38.92052,-76.9776265
Park Road Community Church : Park Road Community Church,DC, Ward 1, Park Road Community Church 1019 Park Road NW Washington DC 20010,(202) 740-7890,3rd of the Month,12:00 PM,02:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Tuesday,1019 Park Road NW Washington DC 20010,38.9322253,-77.027806
Burke United Methodist Church : Burke United Methodist Church,VA, Fairfax County, Burke United Methodist Church 6200 Burke Centre Parkway Burke VA 22015,(703) 250-6100,Every week,06:00 PM,07:00 PM,No,Zip Code,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Saturday || Thursday || Tuesday,6200 Burke Centre Parkway Burke VA 22015,38.7839784,-77.2808802
Greater Little Zion Baptist Church : Greater Little Zion Baptist Church,VA, Fairfax County, Greater Little Zion Baptist Church 10185 Zion Dr Fairfax VA 22032,(703) 728-4513,3rd of the Month,10:00 AM,12:00 PM,No,,"Drive thru,Home Delivery","Loose groceries,Pre-bagged or boxed groceries",,Saturday,10185 Zion Dr Fairfax VA 22032,38.8057495,-77.2976149
