Name,Agency Region,County/Ward,Address,Phone,Day of Week,Monthly Options,Starting Time,Ending Time,By Appointment Only,Food Pantry Requirements,Distribution Models,Food Format ,Additional Note on Hours of Operations,Original_Address,Processed_For_Geocoding,Latitude,Longitude
Northern Virginia Food Rescue : Northern Virginia Food Rescue,VA,VA Prince William County,Attn: Northern Virginia Food Rescue 10535 Battleview Pkwy Manassas VA 20110,(703) 822-5205,Friday,Every week,08:00 AM,02:00 PM,No,,,,,Attn: Northern Virginia Food Rescue 10535 Battleview Pkwy Manassas VA 20110,10535 Battleview Pkwy Manassas VA 20110,,
Northern Virginia Food Rescue : Northern Virginia Food Rescue,VA,VA Prince William County,Attn: Northern Virginia Food Rescue 10535 Battleview Pkwy Manassas VA 20110,(703) 822-5205,Thursday,Every week,08:00 AM,02:00 PM,No,,,,,Attn: Northern Virginia Food Rescue 10535 Battleview Pkwy Manassas VA 20110,10535 Battleview Pkwy Manassas VA 20110,,
The Redeemed Christian Church of God - Victory Temple : The Redeemed Christian Church of God - Victory Temple,VA,VA Fairfax County,Attn: The Redeemed Christian Church of God - Victory Temple 7218 Lockport Place Lorton VA 22079,(804) 625-9423,Saturday,2nd and 4th of the Month,10:00 AM,12:00 PM,No,Zip Code,"Home Delivery,Walk up",Loose groceries,,Attn: The Redeemed Christian Church of God - Victory Temple 7218 Lockport Place Lorton VA 22079,7218 Lockport Place Lorton VA 22079,,
Love Donation Pantry : Love Donation Pantry,MD,MD Prince George's County,Attn: Love Donation Pantry 3450 Laurel Fort Meade Rd. Suite 101 Laurel MD 20708,(240) 486-4213,Wednesday,Every week,12:00 PM,Until Food Runs Out,No,,Walk up,Loose groceries,Hours remains the same.,Attn: Love Donation Pantry 3450 Laurel Fort Meade Rd. Suite 101 Laurel MD 20708,3450 Laurel Fort Meade Rd. Suite 101 Laurel MD 20708,,
The Hope Association : Hope Multiplied,DC,DC Ward 8,Attn: The Hope Association 80 Mst SE Washington DC DC 20003,(571) 445-4673,Saturday,4th of the Month,11:00 AM,12:30 PM,No,,,Loose groceries,Held at Fellowship Baptist Church,Attn: The Hope Association 80 Mst SE Washington DC DC 20003,80 Mst SE Washington DC DC 20003,,
Wells Robertson House : Wells Robertson House,MD,MD Montgomery County,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,(301) 258-6390,Sunday,Every week,09:00 AM,05:00 PM,No,,,,,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,1 Wells Ave Gaithersburg MD 20877,39.1409984,-77.1923173
Wells Robertson House : Wells Robertson House,MD,MD Montgomery County,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,(301) 258-6390,As Needed,Every week,09:00 AM,05:00 PM,No,,,,,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,1 Wells Ave Gaithersburg MD 20877,39.1409984,-77.1923173
Wells Robertson House : Wells Robertson House,MD,MD Montgomery County,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,(301) 258-6390,As Needed,Every week,09:00 AM,05:00 PM,No,,,,,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,1 Wells Ave Gaithersburg MD 20877,39.1409984,-77.1923173
Wells Robertson House : Wells Robertson House,MD,MD Montgomery County,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,(301) 258-6390,Wednesday,Every week,09:00 AM,05:00 PM,No,,,,,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,1 Wells Ave Gaithersburg MD 20877,39.1409984,-77.1923173
Wells Robertson House : Wells Robertson House,MD,MD Montgomery County,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,(301) 258-6390,Thursday,Every week,09:00 AM,05:00 PM,No,,,,,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,1 Wells Ave Gaithersburg MD 20877,39.1409984,-77.1923173
Wells Robertson House : Wells Robertson House,MD,MD Montgomery County,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,(301) 258-6390,Friday,Every week,09:00 AM,05:00 PM,No,,,,,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,1 Wells Ave Gaithersburg MD 20877,39.1409984,-77.1923173
Wells Robertson House : Wells Robertson House,MD,MD Montgomery County,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,(301) 258-6390,Saturday,Every week,09:00 AM,05:00 PM,No,,,,,Attn: Wells Robertson House 1 Wells Ave Gaithersburg MD 20877,1 Wells Ave Gaithersburg MD 20877,39.1409984,-77.1923173
Ward 7 Food Center of Peace Lutheran Church : Ward 7 Food Center of Peace Lutheran Church,DC,DC Ward 7,Attn:  Food & Clothing Center of Ward 7 (Peace Lutheran Church) 4929 Ames St NE Washington  DC 20019,(301) 367-6983,Monday,Every week,10:30 AM,02:30 PM,Yes,"Income,Zip Code",,Pre-bagged or boxed groceries,,Attn:  Food & Clothing Center of Ward 7 (Peace Lutheran Church) 4929 Ames St NE Washington  DC 20019,7 (Peace Lutheran Church) 4929 Ames St NE Washington DC 20019,,
Ward 7 Food Center of Peace Lutheran Church : Ward 7 Food Center of Peace Lutheran Church,DC,DC Ward 7,Attn:  Food & Clothing Center of Ward 7 (Peace Lutheran Church) 4929 Ames St NE Washington  DC 20019,(301) 367-6983,Tuesday,Every week,10:30 AM,02:30 PM,Yes,Zip Code,,Pre-bagged or boxed groceries,Grab n Go,Attn:  Food & Clothing Center of Ward 7 (Peace Lutheran Church) 4929 Ames St NE Washington  DC 20019,7 (Peace Lutheran Church) 4929 Ames St NE Washington DC 20019,,
Ward 7 Food Center of Peace Lutheran Church : Ward 7 Food Center of Peace Lutheran Church,DC,DC Ward 7,Attn:  Food & Clothing Center of Ward 7 (Peace Lutheran Church) 4929 Ames St NE Washington  DC 20019,(301) 367-6983,Wednesday,Every week,10:30 AM,02:30 PM,Yes,"Income,Zip Code",,Pre-bagged or boxed groceries,,Attn:  Food & Clothing Center of Ward 7 (Peace Lutheran Church) 4929 Ames St NE Washington  DC 20019,7 (Peace Lutheran Church) 4929 Ames St NE Washington DC 20019,,
Ward 7 Food Center of Peace Lutheran Church : Ward 7 Food Center of Peace Lutheran Church,DC,DC Ward 7,Attn:  Food & Clothing Center of Ward 7 (Peace Lutheran Church) 4929 Ames St NE Washington  DC 20019,(301) 367-6983,Thursday,Every week,10:30 AM,02:30 PM,Yes,"Income,Zip Code",,Pre-bagged or boxed groceries,,Attn:  Food & Clothing Center of Ward 7 (Peace Lutheran Church) 4929 Ames St NE Washington  DC 20019,7 (Peace Lutheran Church) 4929 Ames St NE Washington DC 20019,,
New Hope Housing Kennedy : New Hope Housing Kennedy Shelter,VA,VA Fairfax County,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,(703) 859-5750,Saturday,Every week,08:00 AM,04:00 PM,No,,,,,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,9155 Richmond Hwy Fort Belvoir VA 22060,38.7168981,-77.1326408
New Hope Housing Kennedy : New Hope Housing Kennedy Shelter,VA,VA Fairfax County,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,(703) 859-5750,Monday,Every week,08:00 AM,04:00 PM,No,,,,,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,9155 Richmond Hwy Fort Belvoir VA 22060,38.7168981,-77.1326408
New Hope Housing Kennedy : New Hope Housing Kennedy Shelter,VA,VA Fairfax County,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,(703) 859-5750,Tuesday,Every week,08:00 AM,04:00 PM,No,,,,,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,9155 Richmond Hwy Fort Belvoir VA 22060,38.7168981,-77.1326408
New Hope Housing Kennedy : New Hope Housing Kennedy Shelter,VA,VA Fairfax County,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,(703) 859-5750,Wednesday,Every week,08:00 AM,04:00 PM,No,,,,,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,9155 Richmond Hwy Fort Belvoir VA 22060,38.7168981,-77.1326408
New Hope Housing Kennedy : New Hope Housing Kennedy Shelter,VA,VA Fairfax County,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,(703) 859-5750,Thursday,Every week,08:00 AM,04:00 PM,No,,,,,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,9155 Richmond Hwy Fort Belvoir VA 22060,38.7168981,-77.1326408
New Hope Housing Kennedy : New Hope Housing Kennedy Shelter,VA,VA Fairfax County,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,(703) 859-5750,Friday,Every week,08:00 AM,04:00 PM,No,,,,,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,9155 Richmond Hwy Fort Belvoir VA 22060,38.7168981,-77.1326408
New Hope Housing Kennedy : New Hope Housing Kennedy Shelter,VA,VA Fairfax County,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,(703) 859-5750,Sunday,Every week,08:00 AM,04:00 PM,No,,,,,Attn: New Hope Housing Kennedy 9155 Richmond Hwy Fort Belvoir VA 22060,9155 Richmond Hwy Fort Belvoir VA 22060,38.7168981,-77.1326408
Mt. Rainier Seventh Day Adventist Spanish Church : Mount Rainier Seventh Day Adventist Spanish Church,MD,MD Prince George's County,Attn: Mount Rainier Seventh Day Adventist Spanish Chuch 6012 Ager Road Hyattsville MD 20782,(240) 346-9272,Wednesday,2nd of the Month,07:00 PM,09:00 PM,Yes,ID,"Drive thru,Home Delivery,Walk up",Loose groceries,,Attn: Mount Rainier Seventh Day Adventist Spanish Chuch 6012 Ager Road Hyattsville MD 20782,6012 Ager Road Hyattsville MD 20782,38.9542534,-76.965287
Mt. Rainier Seventh Day Adventist Spanish Church : Mount Rainier Seventh Day Adventist Spanish Church,MD,MD Prince George's County,Attn: Mount Rainier Seventh Day Adventist Spanish Chuch 6012 Ager Road Hyattsville MD 20782,(240) 346-9272,Saturday,2nd of the Month,02:30 PM,05:30 PM,Yes,ID,"Drive thru,Home Delivery,Walk up",Loose groceries,,Attn: Mount Rainier Seventh Day Adventist Spanish Chuch 6012 Ager Road Hyattsville MD 20782,6012 Ager Road Hyattsville MD 20782,38.9542534,-76.965287
SevaTruck Foundation : SevaTruck Foundation,VA,VA Fairfax County,Attn: SevaTruck Foundation 2815 Old Lee Hwy Fairfax Fairfax VA 22031,(202) 550-3018,Wednesday,Every week,03:00 PM,05:00 PM,Yes,,Walk up,Prepared meals,"Braddock ES-7825 Heritage Dr, Annandale, VA 22003",Attn: SevaTruck Foundation 2815 Old Lee Hwy Fairfax Fairfax VA 22031,2815 Old Lee Hwy Fairfax Fairfax VA 22031,38.8757888,-77.2392203
Community Multi-Service : Community Multi-Service,DC,DC Ward 4,Community Multi-Service 6300 9th St NW  Washington DC  DC 20011,(301) 588-9280,Wednesday,Every week,09:00 AM,05:00 PM,No,,,Prepared meals,,Community Multi-Service 6300 9th St NW  Washington DC  DC 20011,6300 9th St NW Washington DC DC 20011,38.966347,-77.0262483
Central Baptist Church of Camp Springs : Central Baptist Church of Camp Springs,MD,MD Prince George's County,Attn: Central Baptist Church of Camp Springs 5600 Old Branch Avenue Camp Springs MD 20748,(301) 899-3800,Wednesday,Every week,10:00 AM,02:00 PM,Yes,ID,,,,Attn: Central Baptist Church of Camp Springs 5600 Old Branch Avenue Camp Springs MD 20748,5600 Old Branch Avenue Camp Springs MD 20748,38.8130599,-76.9130871
Central Baptist Church of Camp Springs : Central Baptist Church of Camp Springs,MD,MD Prince George's County,Attn: Central Baptist Church of Camp Springs 5600 Old Branch Avenue Camp Springs MD 20748,(301) 899-3800,Tuesday,Every week,10:00 AM,12:00 PM,No,,,,,Attn: Central Baptist Church of Camp Springs 5600 Old Branch Avenue Camp Springs MD 20748,5600 Old Branch Avenue Camp Springs MD 20748,38.8130599,-76.9130871
Central Baptist Church of Camp Springs : Central Baptist Church of Camp Springs,MD,MD Prince George's County,Attn: Central Baptist Church of Camp Springs 5600 Old Branch Avenue Camp Springs MD 20748,(301) 899-3800,Thursday,Every week,10:00 AM,02:00 PM,Yes,ID,,,,Attn: Central Baptist Church of Camp Springs 5600 Old Branch Avenue Camp Springs MD 20748,5600 Old Branch Avenue Camp Springs MD 20748,38.8130599,-76.9130871
Purity Baptist Church : Purity Baptist Church,DC,DC Ward 6,Attn: Purity Baptist Church 1325 Maryland Ave NE Washington DC 20002,(202) 397-4333,Thursday,Every week,10:00 AM,11:00 AM,No,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Attn: Purity Baptist Church 1325 Maryland Ave NE Washington DC 20002,1325 Maryland Ave NE Washington DC 20002,38.8990226,-76.9864891
National City Christian Church : National City Christian Church,DC,DC Ward 2,Attn: National City Christian Church 5 Thomas Circle NW Washington DC 20005,(202) 232-0323,Wednesday,Every week,10:00 AM,01:00 PM,No,,Walk up,Pre-bagged or boxed groceries,Distribution will be on Tuesday if the Wednesday is a holiday.   This year we will distribute on 12/24 and 12/31.,Attn: National City Christian Church 5 Thomas Circle NW Washington DC 20005,5 Thomas Circle NW Washington DC 20005,38.9064998,-77.0327273
Good Samaritan : Good Samaritan Ministry,MD,MD Prince George's County,Attn: Good Samaritan Ministry 1417 Chillum Rd Hyattsville MD 20782,(240) 478-0975,Saturday,Every week,10:00 AM,12:00 PM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: Good Samaritan Ministry 1417 Chillum Rd Hyattsville MD 20782,1417 Chillum Rd Hyattsville MD 20782,,
Covenant Baptist Food Pantry : Covenant Baptist Food Pantry,DC,DC Ward 8,Attn: Covenant Baptist Food Pantry 3845 South Capitol St SW Washington DC 20032,(202) 438-7532,Thursday,Every week,09:30 AM,12:30 PM,No,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Attn: Covenant Baptist Food Pantry 3845 South Capitol St SW Washington DC 20032,3845 South Capitol St SW Washington DC 20032,38.8341748,-77.0089621
Nineteenth Street Baptist Church : Nineteenth Street Baptist Church,DC,DC Ward 4,Attn: Nineteenth Street Baptist Church 4606 16th St NW Washington DC 20011,(202) 829-2773,Thursday,2nd and 4th of the Month,10:00 AM,01:00 PM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: Nineteenth Street Baptist Church 4606 16th St NW Washington DC 20011,4606 16th St NW Washington DC 20011,38.9468507,-77.036771
First Baptist Church of Capitol Heights : First Baptist Church of Capitol Heights,MD,MD Prince George's County,Attn: First Baptist Church of Capitol Heights 6 Capitol Heights Blvd Capitol Heights MD 20743,(301) 336-0722,Tuesday,Every Other Week,10:00 AM,01:00 PM,Yes,"ID,Zip Code",Walk up,Pre-bagged or boxed groceries,,Attn: First Baptist Church of Capitol Heights 6 Capitol Heights Blvd Capitol Heights MD 20743,6 Capitol Heights Blvd Capitol Heights MD 20743,38.8852076,-76.9138748
First Baptist Church of Capitol Heights : First Baptist Church of Capitol Heights,MD,MD Prince George's County,Attn: First Baptist Church of Capitol Heights 6 Capitol Heights Blvd Capitol Heights MD 20743,(301) 336-0722,Thursday,Every Other Week,10:00 AM,01:00 PM,Yes,"ID,Zip Code",Walk up,Pre-bagged or boxed groceries,,Attn: First Baptist Church of Capitol Heights 6 Capitol Heights Blvd Capitol Heights MD 20743,6 Capitol Heights Blvd Capitol Heights MD 20743,38.8852076,-76.9138748
Assumption Outreach : Assumption Outreach,DC,DC Ward 8,Attn: Assumption Outreach 220 Highview Place SE  Washington DC 20032,(202) 561-5941,Monday,Every week,09:00 AM,12:00 PM,No,,Walk up,Pre-bagged or boxed groceries,,Attn: Assumption Outreach 220 Highview Place SE  Washington DC 20032,220 Highview Place SE Washington DC 20032,38.8415051,-77.0045614
Assumption Outreach : Assumption Outreach,DC,DC Ward 8,Attn: Assumption Outreach 220 Highview Place SE  Washington DC 20032,(202) 561-5941,Wednesday,Every week,09:00 AM,12:00 PM,No,,Walk up,Pre-bagged or boxed groceries,,Attn: Assumption Outreach 220 Highview Place SE  Washington DC 20032,220 Highview Place SE Washington DC 20032,38.8415051,-77.0045614
Assumption Outreach : Assumption Outreach,DC,DC Ward 8,Attn: Assumption Outreach 220 Highview Place SE  Washington DC 20032,(202) 561-5941,Friday,Every week,09:00 AM,12:00 PM,No,,Walk up,Pre-bagged or boxed groceries,,Attn: Assumption Outreach 220 Highview Place SE  Washington DC 20032,220 Highview Place SE Washington DC 20032,38.8415051,-77.0045614
Metropolitan SDA Church : Metropolitan SDA Church,MD,MD Prince George's County,Attn: Metropolitan SDA Church 6303 Riggs Rd Hyattsville MD 20783,(301) 853-2224,Wednesday,Every Other Week,10:00 AM,12:00 PM,No,,"Drive thru,Walk up",Pre-bagged or boxed groceries,,Attn: Metropolitan SDA Church 6303 Riggs Rd Hyattsville MD 20783,6303 Riggs Rd Hyattsville MD 20783,,
Church of Christ of Dale City : Church of Christ of Dale City,VA,VA Prince William County,Attn: Church of Christ of Dale City 13130 Hillendale Drive Dale City VA 22193,(703) 346-4991,Monday,2nd and 4th of the Month,03:00 PM,05:00 PM,No,,"Drive thru,Walk up",Pre-bagged or boxed groceries,,Attn: Church of Christ of Dale City 13130 Hillendale Drive Dale City VA 22193,13130 Hillendale Drive Dale City VA 22193,,
Food For All : Food For All,DC,DC Ward 2,Attn: Food For All 1810 16th St NW Washington DC 20009,(240) 410-0024,Saturday,Every week,08:00 AM,12:00 PM,Yes,Income,Home Delivery,"Loose groceries,Pre-bagged or boxed groceries",,Attn: Food For All 1810 16th St NW Washington DC 20009,1810 16th St NW Washington DC 20009,38.9143737,-77.0369513
Food For All : Food For All,DC,DC Ward 2,Attn: Food For All 1810 16th St NW Washington DC 20009,(240) 410-0024,Friday,Every week,07:30 AM,01:00 PM,Yes,Income,Home Delivery,"Loose groceries,Pre-bagged or boxed groceries",,Attn: Food For All 1810 16th St NW Washington DC 20009,1810 16th St NW Washington DC 20009,38.9143737,-77.0369513
Food For All : Food For All,DC,DC Ward 2,Attn: Food For All 1810 16th St NW Washington DC 20009,(240) 410-0024,Thursday,Every week,08:00 AM,01:00 PM,Yes,Income,Home Delivery,"Loose groceries,Pre-bagged or boxed groceries",,Attn: Food For All 1810 16th St NW Washington DC 20009,1810 16th St NW Washington DC 20009,38.9143737,-77.0369513
Food For All : Food For All,DC,DC Ward 2,Attn: Food For All 1810 16th St NW Washington DC 20009,(240) 410-0024,Thursday,Every week,08:00 AM,11:30 AM,Yes,Income,,Pre-bagged or boxed groceries,,Attn: Food For All 1810 16th St NW Washington DC 20009,1810 16th St NW Washington DC 20009,38.9143737,-77.0369513
Food For All : Food For All,DC,DC Ward 2,Attn: Food For All 1810 16th St NW Washington DC 20009,(240) 410-0024,Friday,Every week,09:00 AM,03:00 PM,Yes,Income,,Pre-bagged or boxed groceries,,Attn: Food For All 1810 16th St NW Washington DC 20009,1810 16th St NW Washington DC 20009,38.9143737,-77.0369513
Fort Foote Baptist Church : Fort Foote Baptist Church,MD,MD Prince George's County,Attn: Fort Foote Baptist Church 8310 Fort Foot Road Fort Washington MD 20744,(240) 281-2303,Saturday,4th of the Month,09:00 AM,11:00 AM,No,,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: Fort Foote Baptist Church 8310 Fort Foot Road Fort Washington MD 20744,8310 Fort Foot Road Fort Washington MD 20744,,
Our Lady of Perpetual Help Church : Our Lady of Perpetual Help Church,DC,DC Ward 8,Attn: Our Lady of Perpetual Help Church 1600 Morris Rd SE Washington DC 20020,(202) 678-4999,Thursday,Every week,10:30 AM,12:30 PM,No,ID,"Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: Our Lady of Perpetual Help Church 1600 Morris Rd SE Washington DC 20020,1600 Morris Rd SE Washington DC 20020,38.8578053,-76.981506
Fort Washington Food Pantry : Fort Washington Food Pantry,MD,MD Prince George's County,Attn: Fort Washington Food Pantry 9801 Livingston Road Fort Washington MD 20744,(202) 679-8898,Saturday,Every week,09:00 AM,11:00 AM,No,"ID,Zip Code",Drive thru,"Loose groceries,Pre-bagged or boxed groceries",,Attn: Fort Washington Food Pantry 9801 Livingston Road Fort Washington MD 20744,9801 Livingston Road Fort Washington MD 20744,38.7556609,-77.0009664
WFCM Food Pantry : WFCM Food Pantry,VA,VA Fairfax County,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,(703) 988-9656,Monday,Every week,10:30 AM,02:00 PM,Yes,"ID,Income,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,4511 Daly Dr Suite J Chantilly VA 20151,,
WFCM Food Pantry : WFCM Food Pantry,VA,VA Fairfax County,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,(703) 988-9656,Tuesday,Every week,10:30 AM,02:00 PM,Yes,"ID,Income,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,4511 Daly Dr Suite J Chantilly VA 20151,,
WFCM Food Pantry : WFCM Food Pantry,VA,VA Fairfax County,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,(703) 988-9656,Wednesday,Every week,10:30 AM,02:00 PM,Yes,"ID,Income,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,4511 Daly Dr Suite J Chantilly VA 20151,,
WFCM Food Pantry : WFCM Food Pantry,VA,VA Fairfax County,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,(703) 988-9656,Thursday,Every week,10:30 AM,02:00 PM,Yes,"ID,Income,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,4511 Daly Dr Suite J Chantilly VA 20151,,
WFCM Food Pantry : WFCM Food Pantry,VA,VA Fairfax County,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,(703) 988-9656,Friday,Every week,10:30 AM,02:00 PM,Yes,"ID,Income,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,4511 Daly Dr Suite J Chantilly VA 20151,,
WFCM Food Pantry : WFCM Food Pantry,VA,VA Fairfax County,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,(703) 988-9656,Tuesday,Every week,04:30 PM,07:00 PM,Yes,"ID,Income,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,4511 Daly Dr Suite J Chantilly VA 20151,,
WFCM Food Pantry : WFCM Food Pantry,VA,VA Fairfax County,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,(703) 988-9656,Monday,Every week,04:30 PM,07:00 PM,Yes,"ID,Income,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,4511 Daly Dr Suite J Chantilly VA 20151,,
WFCM Food Pantry : WFCM Food Pantry,VA,VA Fairfax County,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,(703) 988-9656,Saturday,2nd of the Month,09:00 AM,12:00 PM,Yes,"ID,Income,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,4511 Daly Dr Suite J Chantilly VA 20151,,
WFCM Food Pantry : WFCM Food Pantry,VA,VA Fairfax County,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,(703) 988-9656,Thursday,Every week,04:30 PM,07:00 PM,Yes,"ID,Income,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: WFCM Food Pantry 4511 Daly Dr Suite J Chantilly VA 20151,4511 Daly Dr Suite J Chantilly VA 20151,,
Washington Spanish SDA Church : Washington Spanish SDA Church,MD,MD Montgomery County,Attn: Washington Spanish SDA Church 12604 New Hampshire Avenue Silver Spring MD 20904,(240) 638-7086,Tuesday,1st and 3rd of the Month,04:00 PM,06:00 PM,No,ID,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",Everybody is welcome.,Attn: Washington Spanish SDA Church 12604 New Hampshire Avenue Silver Spring MD 20904,12604 New Hampshire Avenue Silver Spring MD 20904,39.0761335,-77.0019544
Gethsemane United Methodist Church : Gethsemane United Methodist Church,MD,MD Prince George's County,Attn: Gethsemane United Methodist Church 910 Addison Road Capitol Heights MD 20743,(301) 237-7116,Saturday,Every week,10:00 AM,01:00 PM,No,ID,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: Gethsemane United Methodist Church 910 Addison Road Capitol Heights MD 20743,910 Addison Road Capitol Heights MD 20743,38.8705089,-76.894135
Bread & Fishes : Bread & Fishes,VA,VA Prince William County,Attn: Bread & Fishes 3890 Cameron Street Dumfries Va 22026,(240) 778-3764,Tuesday,Every week,05:00 PM,06:00 PM,No,Zip Code,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Attn: Bread & Fishes 3890 Cameron Street Dumfries Va 22026,3890 Cameron Street Dumfries Va 22026,38.5686422,-77.3287835
Urban Outreach Inc. : Urban Outreach Inc.,DC,DC Ward 7,Attn: Urban Outreach Inc. 5343 C St SE  Suite 204 Washington DC 20019,(202) 575-4867,Saturday,Every week,08:00 AM,02:00 PM,No,"ID,Income,Zip Code",Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Attn: Urban Outreach Inc. 5343 C St SE  Suite 204 Washington DC 20019,5343 C St SE Suite 204 Washington DC 20019,,
Greater Fellowship Missionary Baptist Church : Greater Fellowship Missionary Baptist Church,DC,DC Ward 8,Attn: Greater Fellowship Missionary Baptist Church 814 Alabama Ave SE Washington DC 20032,(202) 413-4462,Tuesday,Every week,09:00 AM,10:00 AM,No,ID,Walk up,Pre-bagged or boxed groceries,,Attn: Greater Fellowship Missionary Baptist Church 814 Alabama Ave SE Washington DC 20032,814 Alabama Ave SE Washington DC 20032,38.8440468,-76.9938772
Prince George's County DSS : Prince George's County DSS,MD,MD Prince George's County,Attn: Prince George's County DSS 805 Brightseat Rd Landover MD 20785,(301) 909-6364,Friday,Every week,08:30 AM,04:30 PM,Yes,ID,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: Prince George's County DSS 805 Brightseat Rd Landover MD 20785,805 Brightseat Rd Landover MD 20785,38.9160199,-76.8603179
Prince George's County DSS : Prince George's County DSS,MD,MD Prince George's County,Attn: Prince George's County DSS 805 Brightseat Rd Landover MD 20785,(301) 909-6364,Tuesday,Every week,08:30 AM,04:30 PM,Yes,ID,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: Prince George's County DSS 805 Brightseat Rd Landover MD 20785,805 Brightseat Rd Landover MD 20785,38.9160199,-76.8603179
